Nailed Fist,+ Life gained for each Enemy hit by Attacks,,,,
Sharktooth Claw,+ Life gained for each Enemy hit by Attacks,,,,
Awl,+ Life gained for each Enemy hit by Attacks,,,,
Cat's Paw,% of Physical Attack Damage Leeched as Life,,,,
Blinder,+ Life gained for each Enemy hit by Attacks,,,,
Timeworn Claw,% of Physical Attack Damage Leeched as Life,,,,
Sparkling Claw,+ Life gained for each Enemy hit by Attacks,,,,
Fright Claw,% of Physical Attack Damage Leeched as Life,,,,
Double Claw,+ Life and Mana gained for each Enemy hit by Attacks,,,,
Thresher Claw,+ Life gained for each Enemy hit by Attacks,,,,
Gouger,+ Life gained for each Enemy hit by Attacks,,,,
Tiger's Paw,% of Physical Attack Damage Leeched as Life,,,,
Gut Ripper,+ Life gained for each Enemy hit by Attacks,,,,
Prehistoric Claw,% of Physical Attack Damage Leeched as Life,,,,
Noble Claw,+ Life gained for each Enemy hit by Attacks,,,,
Eagle Claw,% of Physical Attack Damage Leeched as Life,,,,
Twin Claw,+ Life and Mana gained for each Enemy hit by Attacks,,,,
Great White Claw,+ Life gained for each Enemy hit by Attacks,,,,
Throat Stabber,+ Life gained for each Enemy hit by Attacks,,,,
Hellion's Paw,% of Physical Attack Damage Leeched as Life,,,,
Eye Gouger,+ Life gained for each Enemy hit by Attacks,,,,
Vaal Claw,% of Physical Attack Damage Leeched as Life,,,,
Imperial Claw,+ Life gained for each Enemy hit by Attacks,,,,
Terror Claw,% of Physical Attack Damage Leeched as Life,,,,
Gemini Claw,+ Life and Mana gained for each Enemy hit by Attacks,,,,
