Driftwood Wand,% increased Spell Damage
Goat's Horn,% increased Spell Damage
Carved Wand,% increased Spell Damage
Quartz Wand,% increased Spell Damage
Spiraled Wand,% increased Spell Damage
Sage Wand,% increased Spell Damage
Pagan Wand,% increased Cast Speed
Faun's Horn,% increased Spell Damage
Engraved Wand,% increased Spell Damage
Crystal Wand,% increased Spell Damage
Serpent Wand,% increased Spell Damage
Omen Wand,% increased Spell Damage
Heathen Wand,% increased Cast Speed
Demon's Horn,% increased Spell Damage
Imbued Wand,% increased Spell Damage
Opal Wand,% increased Spell Damage
Tornado Wand,% increased Spell Damage
Prophecy Wand,% increased Spell Damage
Profane Wand,% increased Cast Speed
